,Current_Speed_(knots),Latitude,Longitude,Moon Illuminated,clusters,cluster
6252,4.7,48.40572205,-122.6449002,0.24,0,blue
6255,5.1,48.40572205,-122.6449002,0.24,1,orange
6258,4.8,48.40572205,-122.6449002,0.24,0,blue
6261,7.3,48.40572205,-122.6449002,0.15,1,orange
6264,5.6,48.40572205,-122.6449002,0.15,1,orange
6267,5.6,48.40572205,-122.6449002,0.15,1,orange
6270,5.0,48.40572205,-122.6449002,0.15,1,orange
6273,7.8,48.40572205,-122.6449002,0.08,1,orange
6276,6.4,48.40572205,-122.6449002,0.08,1,orange
6279,6.0,48.40572205,-122.6449002,0.08,1,orange
6282,4.9,48.40572205,-122.6449002,0.08,0,blue
6285,7.9,48.40572205,-122.6449002,0.03,1,orange
6288,6.7,48.40572205,-122.6449002,0.03,1,orange
6291,6.2,48.40572205,-122.6449002,0.03,1,orange
6294,4.5,48.40572205,-122.6449002,0.01,0,blue
6297,7.7,48.40572205,-122.6449002,0.01,1,orange
6300,6.7,48.40572205,-122.6449002,0.01,1,orange
6303,6.3,48.40572205,-122.6449002,0.01,1,orange
6306,4.0,48.40572205,-122.6449002,0.0,0,blue
6309,7.1,48.40572205,-122.6449002,0.0,1,orange
6312,6.4,48.40572205,-122.6449002,0.0,1,orange
6315,6.2,48.40572205,-122.6449002,0.0,1,orange
6318,3.6,48.40572205,-122.6449002,0.02,0,blue
6321,6.3,48.40572205,-122.6449002,0.02,1,orange
6324,5.7,48.40572205,-122.6449002,0.02,1,orange
6327,6.1,48.40572205,-122.6449002,0.02,1,orange
6330,3.4,48.40572205,-122.6449002,0.06,0,blue
6333,5.6,48.40572205,-122.6449002,0.06,1,orange
6336,5.0,48.40572205,-122.6449002,0.06,1,orange
6339,5.7,48.40572205,-122.6449002,0.06,1,orange
6342,3.2,48.40572205,-122.6449002,0.12,0,blue
6345,5.0,48.40572205,-122.6449002,0.12,1,orange
6348,4.4,48.40572205,-122.6449002,0.12,0,blue
6351,5.4,48.40572205,-122.6449002,0.12,1,orange
6354,3.1,48.40572205,-122.6449002,0.18,0,blue
6357,4.5,48.40572205,-122.6449002,0.18,0,blue
6360,3.8,48.40572205,-122.6449002,0.18,0,blue
6363,5.1,48.40572205,-122.6449002,0.18,1,orange
6366,3.0,48.40572205,-122.6449002,0.26,0,blue
6369,4.0,48.40572205,-122.6449002,0.26,0,blue
6372,3.4,48.40572205,-122.6449002,0.26,0,blue
6375,4.9,48.40572205,-122.6449002,0.26,0,blue
6378,2.8,48.40572205,-122.6449002,0.35,0,blue
6381,3.6,48.40572205,-122.6449002,0.35,0,blue
6384,3.1,48.40572205,-122.6449002,0.35,0,blue
6387,4.7,48.40572205,-122.6449002,0.35,0,blue
6390,2.6,48.40572205,-122.6449002,0.44,0,blue
6393,3.3,48.40572205,-122.6449002,0.44,0,blue
6396,3.0,48.40572205,-122.6449002,0.44,0,blue
6399,4.7,48.40572205,-122.6449002,0.54,0,blue
6402,2.5,48.40572205,-122.6449002,0.54,0,blue
6405,3.4,48.40572205,-122.6449002,0.54,0,blue
6408,3.1,48.40572205,-122.6449002,0.54,0,blue
6411,5.0,48.40572205,-122.6449002,0.63,1,orange
6414,2.8,48.40572205,-122.6449002,0.63,0,blue
6417,3.7,48.40572205,-122.6449002,0.63,0,blue
6420,3.2,48.40572205,-122.6449002,0.63,0,blue
6423,5.6,48.40572205,-122.6449002,0.72,1,orange
6426,3.5,48.40572205,-122.6449002,0.72,0,blue
6429,4.2,48.40572205,-122.6449002,0.72,0,blue
6432,3.3,48.40572205,-122.6449002,0.72,0,blue
6435,6.4,48.40572205,-122.6449002,0.81,1,orange
6438,4.5,48.40572205,-122.6449002,0.81,0,blue
6441,4.7,48.40572205,-122.6449002,0.81,0,blue
6444,3.3,48.40572205,-122.6449002,0.81,0,blue
6447,7.0,48.40572205,-122.6449002,0.88,1,orange
6450,5.6,48.40572205,-122.6449002,0.88,1,orange
6453,5.1,48.40572205,-122.6449002,0.88,1,orange
6456,3.3,48.40572205,-122.6449002,0.88,0,blue
6459,7.5,48.40572205,-122.6449002,0.94,1,orange
6462,6.4,48.40572205,-122.6449002,0.94,1,orange
6465,5.4,48.40572205,-122.6449002,0.94,1,orange
6468,3.3,48.40572205,-122.6449002,0.98,0,blue
6471,7.6,48.40572205,-122.6449002,0.98,1,orange
6474,6.9,48.40572205,-122.6449002,0.98,1,orange
6477,5.8,48.40572205,-122.6449002,0.98,1,orange
6480,3.3,48.40572205,-122.6449002,1.0,0,blue
6483,7.5,48.40572205,-122.6449002,1.0,1,orange
6486,7.1,48.40572205,-122.6449002,1.0,1,orange
6489,6.2,48.40572205,-122.6449002,1.0,1,orange
6492,3.5,48.40572205,-122.6449002,0.99,0,blue
6495,7.2,48.40572205,-122.6449002,0.99,1,orange
6498,6.9,48.40572205,-122.6449002,0.99,1,orange
6501,6.5,48.40572205,-122.6449002,0.99,1,orange
6504,3.7,48.40572205,-122.6449002,0.95,0,blue
6507,6.8,48.40572205,-122.6449002,0.95,1,orange
6510,6.6,48.40572205,-122.6449002,0.95,1,orange
6513,6.8,48.40572205,-122.6449002,0.95,1,orange
6516,4.0,48.40572205,-122.6449002,0.89,0,blue
6519,6.4,48.40572205,-122.6449002,0.89,1,orange
6522,6.2,48.40572205,-122.6449002,0.89,1,orange
6525,7.0,48.40572205,-122.6449002,0.89,1,orange
6528,4.1,48.40572205,-122.6449002,0.8,0,blue
6531,6.0,48.40572205,-122.6449002,0.8,1,orange
6534,5.7,48.40572205,-122.6449002,0.8,1,orange
6537,6.8,48.40572205,-122.6449002,0.8,1,orange
6540,3.9,48.40572205,-122.6449002,0.7,0,blue
6543,5.4,48.40572205,-122.6449002,0.7,1,orange
6546,5.2,48.40572205,-122.6449002,0.7,1,orange
6549,6.5,48.40572205,-122.6449002,0.7,1,orange
6552,3.5,48.40572205,-122.6449002,0.59,0,blue
6555,4.7,48.40572205,-122.6449002,0.59,0,blue
6558,4.7,48.40572205,-122.6449002,0.59,0,blue
6561,6.2,48.40572205,-122.6449002,0.48,1,orange
6564,3.4,48.40572205,-122.6449002,0.48,0,blue
6567,4.3,48.40572205,-122.6449002,0.48,0,blue
6570,4.4,48.40572205,-122.6449002,0.48,0,blue
6573,6.3,48.40572205,-122.6449002,0.37,1,orange
6576,4.0,48.40572205,-122.6449002,0.37,0,blue
6579,4.5,48.40572205,-122.6449002,0.37,0,blue
6582,4.2,48.40572205,-122.6449002,0.37,0,blue
6585,6.6,48.40572205,-122.6449002,0.26,1,orange
6588,5.0,48.40572205,-122.6449002,0.26,1,orange
6591,5.0,48.40572205,-122.6449002,0.26,1,orange
6594,4.2,48.40572205,-122.6449002,0.26,0,blue
6597,6.9,48.40572205,-122.6449002,0.18,1,orange
6600,5.9,48.40572205,-122.6449002,0.18,1,orange
6603,5.7,48.40572205,-122.6449002,0.18,1,orange
6606,4.2,48.40572205,-122.6449002,0.18,0,blue
6609,7.1,48.40572205,-122.6449002,0.1,1,orange
6612,6.6,48.40572205,-122.6449002,0.1,1,orange
6615,6.2,48.40572205,-122.6449002,0.1,1,orange
6618,4.2,48.40572205,-122.6449002,0.1,0,blue
6621,7.0,48.40572205,-122.6449002,0.05,1,orange
6624,6.6,48.40572205,-122.6449002,0.05,1,orange
6627,6.5,48.40572205,-122.6449002,0.05,1,orange
6630,4.1,48.40572205,-122.6449002,0.01,0,blue
6633,6.6,48.40572205,-122.6449002,0.01,1,orange
6636,6.2,48.40572205,-122.6449002,0.01,1,orange
6639,6.5,48.40572205,-122.6449002,0.01,1,orange
6642,4.0,48.40572205,-122.6449002,0.0,0,blue
6645,6.0,48.40572205,-122.6449002,0.0,1,orange
6648,5.6,48.40572205,-122.6449002,0.0,1,orange
6651,6.3,48.40572205,-122.6449002,0.0,1,orange
6654,3.9,48.40572205,-122.6449002,0.01,0,blue
6657,5.5,48.40572205,-122.6449002,0.01,1,orange
6660,4.9,48.40572205,-122.6449002,0.01,0,blue
6663,5.9,48.40572205,-122.6449002,0.01,1,orange
6666,3.8,48.40572205,-122.6449002,0.03,0,blue
6669,5.1,48.40572205,-122.6449002,0.03,1,orange
6672,4.3,48.40572205,-122.6449002,0.03,0,blue
6675,5.7,48.40572205,-122.6449002,0.03,1,orange
6678,3.8,48.40572205,-122.6449002,0.08,0,blue
6681,4.9,48.40572205,-122.6449002,0.08,0,blue
6684,4.0,48.40572205,-122.6449002,0.08,0,blue
6687,5.6,48.40572205,-122.6449002,0.08,1,orange
6690,3.8,48.40572205,-122.6449002,0.13,0,blue
6693,4.8,48.40572205,-122.6449002,0.13,0,blue
6696,3.9,48.40572205,-122.6449002,0.13,0,blue
6699,5.5,48.40572205,-122.6449002,0.13,1,orange
6702,3.7,48.40572205,-122.6449002,0.21,0,blue
6705,4.6,48.40572205,-122.6449002,0.21,0,blue
6708,3.8,48.40572205,-122.6449002,0.21,0,blue
6711,5.5,48.40572205,-122.6449002,0.21,1,orange
6714,3.5,48.40572205,-122.6449002,0.29,0,blue
6717,4.2,48.40572205,-122.6449002,0.29,0,blue
6720,3.6,48.40572205,-122.6449002,0.29,0,blue
6723,5.3,48.40572205,-122.6449002,0.29,1,orange
6726,3.2,48.40572205,-122.6449002,0.38,0,blue
6729,3.7,48.40572205,-122.6449002,0.38,0,blue
6732,3.3,48.40572205,-122.6449002,0.38,0,blue
6735,5.3,48.40572205,-122.6449002,0.38,1,orange
6738,3.1,48.40572205,-122.6449002,0.47,0,blue
6741,3.4,48.40572205,-122.6449002,0.47,0,blue
6744,3.0,48.40572205,-122.6449002,0.47,0,blue
6747,5.5,48.40572205,-122.6449002,0.57,1,orange
6750,3.4,48.40572205,-122.6449002,0.57,0,blue
6753,3.6,48.40572205,-122.6449002,0.57,0,blue
6756,2.7,48.40572205,-122.6449002,0.57,0,blue
6759,5.8,48.40572205,-122.6449002,0.67,1,orange
6762,4.1,48.40572205,-122.6449002,0.67,0,blue
6765,4.2,48.40572205,-122.6449002,0.67,0,blue
6768,2.5,48.40572205,-122.6449002,0.67,0,blue
6771,6.2,48.40572205,-122.6449002,0.76,1,orange
6774,5.0,48.40572205,-122.6449002,0.76,1,orange
6777,4.9,48.40572205,-122.6449002,0.76,0,blue
6780,2.6,48.40572205,-122.6449002,0.76,0,blue
6783,6.5,48.40572205,-122.6449002,0.85,1,orange
6786,5.8,48.40572205,-122.6449002,0.85,1,orange
6789,5.5,48.40572205,-122.6449002,0.85,1,orange
6792,2.9,48.40572205,-122.6449002,0.85,0,blue
6795,6.7,48.40572205,-122.6449002,0.92,1,orange
6798,6.4,48.40572205,-122.6449002,0.92,1,orange
6801,6.0,48.40572205,-122.6449002,0.92,1,orange
6804,3.3,48.40572205,-122.6449002,0.92,0,blue
6807,6.8,48.40572205,-122.6449002,0.97,1,orange
6810,6.6,48.40572205,-122.6449002,0.97,1,orange
6813,6.4,48.40572205,-122.6449002,0.97,1,orange
6816,3.8,48.40572205,-122.6449002,1.0,0,blue
6819,6.7,48.40572205,-122.6449002,1.0,1,orange
6822,6.5,48.40572205,-122.6449002,1.0,1,orange
6825,6.8,48.40572205,-122.6449002,1.0,1,orange
6828,4.3,48.40572205,-122.6449002,0.99,0,blue
6831,6.6,48.40572205,-122.6449002,0.99,1,orange
6834,6.3,48.40572205,-122.6449002,0.99,1,orange
6837,7.1,48.40572205,-122.6449002,0.99,1,orange
6840,4.6,48.40572205,-122.6449002,0.96,0,blue
6843,6.5,48.40572205,-122.6449002,0.96,1,orange
6846,6.0,48.40572205,-122.6449002,0.96,1,orange
6849,7.3,48.40572205,-122.6449002,0.96,1,orange
6852,4.8,48.40572205,-122.6449002,0.91,0,blue
6855,6.4,48.40572205,-122.6449002,0.91,1,orange
6858,5.9,48.40572205,-122.6449002,0.91,1,orange
6861,7.4,48.40572205,-122.6449002,0.91,1,orange
6864,4.7,48.40572205,-122.6449002,0.82,0,blue
6867,6.0,48.40572205,-122.6449002,0.82,1,orange
6870,5.6,48.40572205,-122.6449002,0.82,1,orange
6873,7.3,48.40572205,-122.6449002,0.82,1,orange
6876,4.3,48.40572205,-122.6449002,0.73,0,blue
6879,5.4,48.40572205,-122.6449002,0.73,1,orange
6882,5.2,48.40572205,-122.6449002,0.73,1,orange
6885,7.0,48.40572205,-122.6449002,0.73,1,orange
6888,3.9,48.40572205,-122.6449002,0.62,0,blue
6891,4.6,48.40572205,-122.6449002,0.62,0,blue
6894,4.6,48.40572205,-122.6449002,0.62,0,blue
6897,6.6,48.40572205,-122.6449002,0.62,1,orange
6900,3.9,48.40572205,-122.6449002,0.51,0,blue
6903,4.3,48.40572205,-122.6449002,0.51,0,blue
6906,3.9,48.40572205,-122.6449002,0.51,0,blue
6909,6.3,48.40572205,-122.6449002,0.4,1,orange
6912,4.4,48.40572205,-122.6449002,0.4,0,blue
6915,4.6,48.40572205,-122.6449002,0.4,0,blue
6918,3.4,48.40572205,-122.6449002,0.4,0,blue
6921,6.1,48.40572205,-122.6449002,0.3,1,orange
6924,5.2,48.40572205,-122.6449002,0.3,1,orange
6927,5.3,48.40572205,-122.6449002,0.3,1,orange
6930,3.3,48.40572205,-122.6449002,0.3,0,blue
6933,6.0,48.40572205,-122.6449002,0.21,1,orange
6936,5.8,48.40572205,-122.6449002,0.21,1,orange
6939,6.0,48.40572205,-122.6449002,0.21,1,orange
6942,3.5,48.40572205,-122.6449002,0.21,0,blue
6945,5.9,48.40572205,-122.6449002,0.13,1,orange
6948,6.0,48.40572205,-122.6449002,0.13,1,orange
6951,6.5,48.40572205,-122.6449002,0.13,1,orange
6954,3.9,48.40572205,-122.6449002,0.13,0,blue
6957,5.7,48.40572205,-122.6449002,0.07,1,orange
6960,5.8,48.40572205,-122.6449002,0.07,1,orange
6963,6.6,48.40572205,-122.6449002,0.07,1,orange
6966,4.2,48.40572205,-122.6449002,0.03,0,blue
6969,5.5,48.40572205,-122.6449002,0.03,1,orange
6972,5.2,48.40572205,-122.6449002,0.03,1,orange
6975,6.4,48.40572205,-122.6449002,0.03,1,orange
6978,4.3,48.40572205,-122.6449002,0.01,0,blue
6981,5.3,48.40572205,-122.6449002,0.01,1,orange
6984,4.6,48.40572205,-122.6449002,0.01,0,blue
6987,6.0,48.40572205,-122.6449002,0.01,1,orange
6990,4.3,48.40572205,-122.6449002,0.0,0,blue
6993,5.1,48.40572205,-122.6449002,0.0,1,orange
6996,4.2,48.40572205,-122.6449002,0.0,0,blue
6999,5.8,48.40572205,-122.6449002,0.0,1,orange
7002,4.3,48.40572205,-122.6449002,0.01,0,blue
7005,5.1,48.40572205,-122.6449002,0.01,1,orange
7008,4.0,48.40572205,-122.6449002,0.01,0,blue
7011,5.8,48.40572205,-122.6449002,0.01,1,orange
7014,4.3,48.40572205,-122.6449002,0.05,0,blue
7017,5.1,48.40572205,-122.6449002,0.05,1,orange
7020,4.1,48.40572205,-122.6449002,0.05,0,blue
7023,5.9,48.40572205,-122.6449002,0.05,1,orange
