,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
414,,269.0,8.81,0.1,
415,0.1,,,0.1,Weak Current
416,0.0,,,0.1,No Current
417,,326.0,10.71,0.1,
418,0.7,,,0.1,Weak Current
419,,65.0,2.14,0.1,
420,0.0,,,0.1,No Current
421,0.2,,,0.04,Weak Current
422,0.0,,,0.04,No Current
423,,365.0,11.96,0.04,
424,0.2,,,0.04,Weak Current
425,0.0,,,0.04,No Current
426,,249.0,8.17,0.04,
427,0.1,,,0.04,Weak Current
428,,337.0,11.05,0.04,
429,0.0,,,0.04,No Current
430,0.7,,,0.04,Weak Current
431,,81.0,2.65,0.04,
432,0.0,,,0.04,No Current
433,0.2,,,0.01,Weak Current
434,,375.0,12.29,0.01,
435,0.0,,,0.01,No Current
436,0.2,,,0.01,Weak Current
437,0.0,,,0.01,No Current
438,,223.0,7.3,0.01,
439,0.1,,,0.01,Weak Current
440,,345.0,11.31,0.01,
441,0.0,,,0.01,No Current
442,0.7,,,0.01,Weak Current
443,,83.0,2.73,0.01,
444,0.0,,,0.0,No Current
445,0.3,,,0.0,Weak Current
446,,383.0,12.56,0.0,
447,0.0,,,0.0,No Current
448,0.2,,,0.0,Weak Current
449,,190.0,6.22,0.0,
450,0.0,,,0.0,No Current
451,0.1,,,0.0,Weak Current
452,,347.0,11.37,0.0,
453,0.0,,,0.0,No Current
454,0.7,,,0.0,Weak Current
455,,69.0,2.28,0.0,
456,0.0,,,0.03,No Current
457,0.3,,,0.03,Weak Current
458,,390.0,12.79,0.03,
459,0.0,,,0.03,No Current
460,0.3,,,0.03,Weak Current
461,,152.0,4.98,0.03,
462,0.0,,,0.03,No Current
463,0.1,,,0.03,Weak Current
464,,340.0,11.17,0.03,
465,0.0,,,0.03,No Current
466,0.7,,,0.03,Weak Current
467,,38.0,1.25,0.08,
468,0.0,,,0.08,No Current
469,0.3,,,0.08,Weak Current
470,,395.0,12.95,0.08,
471,0.0,,,0.08,No Current
472,0.4,,,0.08,Weak Current
473,,112.0,3.69,0.08,
474,0.0,,,0.08,No Current
475,0.1,,,0.08,Weak Current
476,,327.0,10.74,0.08,
477,0.0,,,0.08,No Current
478,0.6,,,0.08,Weak Current
479,,9.0,0.29,0.16,
480,0.0,,,0.16,No Current
481,0.3,,,0.16,Weak Current
482,,396.0,12.99,0.16,
483,0.0,,,0.16,No Current
484,0.5,,,0.16,Weak Current
485,,76.0,2.48,0.16,
486,0.0,,,0.16,No Current
487,0.1,,,0.16,Weak Current
488,,310.0,10.18,0.16,
489,0.0,,,0.16,No Current
490,0.5,,,0.26,Weak Current
491,,66.0,2.18,0.26,
492,0.0,,,0.26,No Current
493,0.3,,,0.26,Weak Current
494,,391.0,12.82,0.26,
495,0.0,,,0.26,No Current
496,0.6,,,0.26,Weak Current
