,Dive_Site,Current_Speed_(knots),Moon Illuminated
5775,Deception Pass,6.6,0.95
5778,Deception Pass,4.8,0.95
5781,Deception Pass,5.1,0.95
5784,Deception Pass,4.5,0.98
5787,Deception Pass,7.3,0.98
5790,Deception Pass,5.3,0.98
5793,Deception Pass,5.1,0.98
5796,Deception Pass,4.4,1.0
5799,Deception Pass,7.8,1.0
5802,Deception Pass,5.9,1.0
5805,Deception Pass,5.1,1.0
5808,Deception Pass,4.0,0.99
5811,Deception Pass,8.1,0.99
5814,Deception Pass,6.4,0.99
5817,Deception Pass,5.1,0.99
5820,Deception Pass,3.5,0.96
5823,Deception Pass,8.1,0.96
5826,Deception Pass,6.8,0.96
5829,Deception Pass,5.2,0.96
5832,Deception Pass,3.0,0.92
5835,Deception Pass,7.8,0.92
5838,Deception Pass,7.0,0.92
5841,Deception Pass,5.4,0.92
5844,Deception Pass,2.6,0.85
5847,Deception Pass,7.3,0.85
5850,Deception Pass,6.8,0.85
5853,Deception Pass,5.5,0.85
5856,Deception Pass,2.4,0.76
5859,Deception Pass,6.4,0.76
5862,Deception Pass,6.2,0.76
5865,Deception Pass,5.5,0.76
5868,Deception Pass,2.3,0.66
5871,Deception Pass,5.3,0.66
5874,Deception Pass,5.4,0.66
5877,Deception Pass,5.5,0.55
5880,Deception Pass,2.4,0.55
5883,Deception Pass,4.5,0.55
5886,Deception Pass,4.7,0.55
5889,Deception Pass,5.7,0.43
5892,Deception Pass,2.8,0.43
5895,Deception Pass,4.3,0.43
5898,Deception Pass,4.4,0.43
5901,Deception Pass,6.1,0.32
5904,Deception Pass,3.6,0.32
5907,Deception Pass,4.6,0.32
5910,Deception Pass,4.6,0.32
5913,Deception Pass,6.6,0.22
5916,Deception Pass,4.5,0.22
5919,Deception Pass,5.2,0.22
5922,Deception Pass,5.1,0.22
5925,Deception Pass,7.3,0.13
5928,Deception Pass,5.3,0.13
5931,Deception Pass,5.7,0.13
5934,Deception Pass,5.5,0.13
5937,Deception Pass,7.8,0.06
5940,Deception Pass,5.9,0.06
5943,Deception Pass,6.0,0.06
5946,Deception Pass,5.6,0.02
5949,Deception Pass,8.2,0.02
5952,Deception Pass,6.3,0.02
5955,Deception Pass,6.0,0.02
5958,Deception Pass,5.3,0.0
5961,Deception Pass,8.2,0.0
5964,Deception Pass,6.5,0.0
5967,Deception Pass,6.0,0.0
5970,Deception Pass,4.7,0.01
5973,Deception Pass,7.9,0.01
5976,Deception Pass,6.5,0.01
5979,Deception Pass,6.0,0.01
5982,Deception Pass,4.0,0.04
5985,Deception Pass,7.2,0.04
5988,Deception Pass,6.2,0.04
5991,Deception Pass,5.9,0.04
5994,Deception Pass,3.4,0.09
5997,Deception Pass,6.4,0.09
6000,Deception Pass,5.6,0.09
6003,Deception Pass,5.7,0.09
6006,Deception Pass,2.9,0.16
6009,Deception Pass,5.5,0.16
6012,Deception Pass,4.8,0.16
6015,Deception Pass,5.3,0.16
6018,Deception Pass,2.5,0.24
6021,Deception Pass,4.6,0.24
6024,Deception Pass,4.1,0.24
6027,Deception Pass,4.8,0.24
6029,Deception Pass,2.3,0.33
6033,Deception Pass,3.7,0.33
6036,Deception Pass,3.3,0.33
6039,Deception Pass,4.5,0.42
6041,Deception Pass,2.2,0.42
6045,Deception Pass,3.0,0.42
6048,Deception Pass,2.7,0.42
6051,Deception Pass,4.3,0.51
6053,Deception Pass,2.2,0.51
6057,Deception Pass,2.9,0.51
6060,Deception Pass,2.6,0.51
6063,Deception Pass,4.4,0.61
6066,Deception Pass,2.4,0.61
6069,Deception Pass,3.3,0.61
6072,Deception Pass,2.8,0.61
6075,Deception Pass,4.8,0.7
6078,Deception Pass,2.9,0.7
6081,Deception Pass,3.9,0.7
6084,Deception Pass,3.3,0.7
6087,Deception Pass,5.4,0.78
6090,Deception Pass,3.5,0.78
6093,Deception Pass,4.4,0.78
6096,Deception Pass,3.8,0.78
6099,Deception Pass,6.2,0.86
6102,Deception Pass,4.2,0.86
6105,Deception Pass,4.7,0.86
6108,Deception Pass,4.0,0.86
6111,Deception Pass,7.0,0.92
6114,Deception Pass,5.1,0.92
6117,Deception Pass,4.9,0.92
6120,Deception Pass,4.0,0.92
6123,Deception Pass,7.6,0.97
6126,Deception Pass,5.9,0.97
6129,Deception Pass,5.1,0.97
6132,Deception Pass,3.8,0.99
6135,Deception Pass,8.0,0.99
6138,Deception Pass,6.6,0.99
6141,Deception Pass,5.3,0.99
6144,Deception Pass,3.4,1.0
6147,Deception Pass,8.1,1.0
6150,Deception Pass,7.0,1.0
6153,Deception Pass,5.5,1.0
6156,Deception Pass,3.1,0.98
6159,Deception Pass,7.8,0.98
6162,Deception Pass,7.2,0.98
6165,Deception Pass,5.8,0.98
6168,Deception Pass,3.0,0.93
6171,Deception Pass,7.4,0.93
6174,Deception Pass,7.1,0.93
6177,Deception Pass,6.2,0.93
6180,Deception Pass,3.1,0.87
6183,Deception Pass,6.8,0.87
6186,Deception Pass,6.6,0.87
6189,Deception Pass,6.3,0.87
6192,Deception Pass,3.2,0.78
6195,Deception Pass,6.1,0.78
6198,Deception Pass,6.0,0.78
6201,Deception Pass,6.3,0.78
6204,Deception Pass,3.2,0.68
6207,Deception Pass,5.3,0.68
6210,Deception Pass,5.2,0.68
6213,Deception Pass,6.1,0.68
6216,Deception Pass,3.1,0.57
6219,Deception Pass,4.6,0.57
6222,Deception Pass,4.6,0.57
6225,Deception Pass,6.0,0.45
6228,Deception Pass,3.1,0.45
6231,Deception Pass,4.3,0.45
6234,Deception Pass,4.4,0.45
6237,Deception Pass,6.1,0.34
6240,Deception Pass,3.7,0.34
6243,Deception Pass,4.5,0.34
6246,Deception Pass,4.6,0.34
6249,Deception Pass,6.6,0.24
6252,Deception Pass,4.7,0.24
6255,Deception Pass,5.1,0.24
6258,Deception Pass,4.8,0.24
6261,Deception Pass,7.3,0.15
6264,Deception Pass,5.6,0.15
6267,Deception Pass,5.6,0.15
6270,Deception Pass,5.0,0.15
6273,Deception Pass,7.8,0.08
6276,Deception Pass,6.4,0.08
6279,Deception Pass,6.0,0.08
6282,Deception Pass,4.9,0.08
6285,Deception Pass,7.9,0.03
6288,Deception Pass,6.7,0.03
6291,Deception Pass,6.2,0.03
6294,Deception Pass,4.5,0.01
6297,Deception Pass,7.7,0.01
6300,Deception Pass,6.7,0.01
6303,Deception Pass,6.3,0.01
6306,Deception Pass,4.0,0.0
6309,Deception Pass,7.1,0.0
6312,Deception Pass,6.4,0.0
6315,Deception Pass,6.2,0.0
6318,Deception Pass,3.6,0.02
6321,Deception Pass,6.3,0.02
6324,Deception Pass,5.7,0.02
6327,Deception Pass,6.1,0.02
6330,Deception Pass,3.4,0.06
6333,Deception Pass,5.6,0.06
6336,Deception Pass,5.0,0.06
6339,Deception Pass,5.7,0.06
6342,Deception Pass,3.2,0.12
6345,Deception Pass,5.0,0.12
6348,Deception Pass,4.4,0.12
6351,Deception Pass,5.4,0.12
6354,Deception Pass,3.1,0.18
6357,Deception Pass,4.5,0.18
6360,Deception Pass,3.8,0.18
6363,Deception Pass,5.1,0.18
6366,Deception Pass,3.0,0.26
6369,Deception Pass,4.0,0.26
6372,Deception Pass,3.4,0.26
6375,Deception Pass,4.9,0.26
6378,Deception Pass,2.8,0.35
6381,Deception Pass,3.6,0.35
6384,Deception Pass,3.1,0.35
6387,Deception Pass,4.7,0.35
6390,Deception Pass,2.6,0.44
6393,Deception Pass,3.3,0.44
6396,Deception Pass,3.0,0.44
6399,Deception Pass,4.7,0.54
6402,Deception Pass,2.5,0.54
6405,Deception Pass,3.4,0.54
6408,Deception Pass,3.1,0.54
6411,Deception Pass,5.0,0.63
6414,Deception Pass,2.8,0.63
6417,Deception Pass,3.7,0.63
6420,Deception Pass,3.2,0.63
6423,Deception Pass,5.6,0.72
6426,Deception Pass,3.5,0.72
6429,Deception Pass,4.2,0.72
6432,Deception Pass,3.3,0.72
6435,Deception Pass,6.4,0.81
6438,Deception Pass,4.5,0.81
6441,Deception Pass,4.7,0.81
6444,Deception Pass,3.3,0.81
6447,Deception Pass,7.0,0.88
6450,Deception Pass,5.6,0.88
